_rank,_name,_score,Back,Background,Body,Glass,Hand,Hat,Legendary,Mouth,Neck,Prop,Shirt
1,Oppa Bear Evolution Gen.1 #140,2000.0,,,,,,,Pinky Bear,,,,
1,Oppa Bear Evolution Gen.1 #141,2000.0,,,,,,,Skater Bear,,,,
1,Oppa Bear Evolution Gen.1 #380,2000.0,,,,,,,Guitar Bear,,,,
1,Oppa Bear Evolution Gen.1 #666,2000.0,,,,,,,Detective,,,,
1,Oppa Bear Evolution Gen.1 #898,2000.0,,,,,,,Samurai Bear,,,,
1,Oppa Bear Evolution Gen.1 #999,2000.0,,,,,,,King of Bear,,,,
1,Oppa Bear Evolution Gen.1 #1290,2000.0,,,,,,,Space Samurai Bear,,,,
1,Oppa Bear Evolution Gen.1 #1484,2000.0,,,,,,,Basketball Bear,,,,
1,Oppa Bear Evolution Gen.1 #1669,2000.0,,,,,,,Baseball Bear,,,,
1,Oppa Bear Evolution Gen.1 #1800,2000.0,,,,,,,Future Bear,,,,
11,Oppa Bear Evolution Gen.1 #1367,1553.4881233487245,Baseball Green,Fraction Green,Rainbow Super Rare,Normal Green,Hand Donut V2,Baseball Purple,,Angry,,Rose Orange,Future Yellow
12,Oppa Bear Evolution Gen.1 #1690,1437.1419732015206,Baseball Golden,Rainbow Shade V.2,Rainbow Super Rare,Normal Green,,Hiphop Pink,,Smirk,,Gum Blue,Hawaiian Yellow
13,Oppa Bear Evolution Gen.1 #777,1428.0013994874669,Guitar Blue,Wave Clear,Rainbow Super Rare,Detective Glass Green,,Headphone Pink,,Angry,Bag Blue,Honey Blue,Hoodie Mix Purple
14,Oppa Bear Evolution Gen.1 #745,1423.9814847346177,Skateboard Purple,Green,Rainbow Super Rare,Motorbike Glass Green,Hand Ice Cream V1,King Crown Red,,Open Mouth,,Rose Purple,Hoodie Oversize Pink
15,Oppa Bear Evolution Gen.1 #1730,1391.3348749836148,Baseball Silver,Futuristic V.1,Rainbow Super Rare,Normal Green,,Smart Hat Purple,,Open Mouth,,Pizza Purple,Basketball Shirt Yellow
16,Oppa Bear Evolution Gen.1 #1227,1386.8598483303388,Basketball Orange,Sunshine Blue,Rainbow Super Rare,,,Ring Yellow,,Angry,Scarf Red,Honey Blue,Hoodie Oversize Pink
17,Oppa Bear Evolution Gen.1 #130,1382.9827875687229,,Futuristic V.2,Rainbow Super Rare,,,Party Hat Red,,Angry,Bag Blue,Honey Yellow,Future Yellow
18,Oppa Bear Evolution Gen.1 #131,1358.5011933916164,,Theme Orange,Rainbow Super Rare,Detective Glass Blue,,Ring Purple,,Smirk,,Rose Orange,Turtle Neck Blue
19,Oppa Bear Evolution Gen.1 #134,1352.542473980346,Guitar Blue,Circle Green,Rainbow Super Rare,,,Baseball White,,Smirk,,Pizza Yellow,Hoodie Pink
20,Oppa Bear Evolution Gen.1 #643,1350.546232927583,Gun Pink,Bubble Orange,Rainbow Super Rare,,,Fashion Hat Yellow,,Open Mouth,,Lollipop Purple,Hoodie Oversize Pink
21,Oppa Bear Evolution Gen.1 #132,1346.8814671611262,Basketball Green,Red,Rainbow Super Rare,Detective Glass Blue,,Honey Jar Purple,,Angry,Scarf Green,Honey Yellow,Bee Pink
22,Oppa Bear Evolution Gen.1 #1139,1343.9246472865925,Skateboard Green,Futuristic V.1,Rainbow Super Rare,Rainbow Shade V.2,,Honey Jar Purple,,Angry,,Honey Yellow,Hoodie Oversize Pink
23,Oppa Bear Evolution Gen.1 #138,1342.6172228373441,,Bubble Pink,Rainbow Super Rare,Color Lens V.3,,Baseball White,,Playful,Bag Purple,Honey Yellow,Torn Shirt Green
24,Oppa Bear Evolution Gen.1 #133,1341.8127318970726,Sword Black,Pink,Rainbow Super Rare,Rainbow Shade V.1,,,,Smile,,Honey Blue,King Yellow
25,Oppa Bear Evolution Gen.1 #137,1332.791942694094,Guitar Blue,Sunshine Pink,Rainbow Super Rare,Heart Red,Hand Donut V3,,,Playful,,Lollipop Blue,Basketball Shirt Green
26,Oppa Bear Evolution Gen.1 #135,1332.3699719398523,Basketball Pink,Green,Rainbow Super Rare,,Hand Donut V3,HipHop Green,,Smirk,Headphone Yellow,Rose Orange,Hoodie Mix Purple
27,Oppa Bear Evolution Gen.1 #136,1322.0313311620903,Guitar Blue,Circle Purple,Rainbow Super Rare,,,Headphone Blue,,Playful,Bag Yellow,,Raincoat Red
28,Oppa Bear Evolution Gen.1 #139,1312.8001616254908,Baseball Golden,Lens Blue,Rainbow Super Rare,,,Honey Jar Purple,,Open Mouth,,Lollipop Blue,Basketball Shirt Green
29,Oppa Bear Evolution Gen.1 #1380,1307.3326844236612,Basketball Green,Lens Pink,Rainbow Super Rare,,,Cowboy Big Purple,,Smile,,Rose Orange,Palm Shirt Red
30,Oppa Bear Evolution Gen.1 #537,1297.8040352645771,Basketball Orange,Sunshine Pink,Rainbow Super Rare,,,Bucket Black,,Open Mouth,,Lollipop Green,Turtle Neck Green
31,Oppa Bear Evolution Gen.1 #120,945.4831102335795,Gun Yellow,Wave Calm,Rainbow Rare,Heart Green,Hand Soundabout Blue V1,Smart Hat Black,,Angry,,Rose Orange,Bib Green
32,Oppa Bear Evolution Gen.1 #972,926.2455690255495,Sword Black,Blue,Rainbow Rare,Motorbike Glass Pink,Hand Spray V2,Honey Jar Green,,Angry Rainbow,Scarf Red,Honey Blue,Rain Coat Yellow
33,Oppa Bear Evolution Gen.1 #712,905.9173064989575,Guitar Yellow,Rainbow Shade V.3,Rainbow Rare,Star Yellow,,Mario Red,,Open Mouth,Scarf Red,,Torn Shirt Black
34,Oppa Bear Evolution Gen.1 #119,899.9763235444898,Wing Blue,Fraction Yellow,Rainbow Rare,Star Yellow,,Mario Red,,Smile,,Pizza Purple,Jacket Brown
35,Oppa Bear Evolution Gen.1 #489,893.0310506954758,Skateboard Purple,Rainbow Wink Shade,Rainbow Rare,Star Blue,Hand Donut V1,Cowboy Small Black,,Smile,,Lollipop Purple,Hood Blue
36,Oppa Bear Evolution Gen.1 #123,884.7974361943121,Basketball Orange,Lens Blue,Rainbow Rare,Star Pink,Hand Spray V2,Bear Hat Green,,Smirk Rainbow,,,Hawaiian Yellow
