_rank,_name,_score,Back,Background,Body,Ear,Eye,Glasses,Head,Left Chest,Mouth,Necklace,Outfit,Props,Right Chest,Shoulder
100,Oppa Bear Evolution Gen.2 #974,3403.5047824499593,WingBlue,MixRed,Rainbow Super Rare,PaintPurple,EyesRed,GreenRed,TopRed,NinjaOrange,NormalPurple,,ScottGreen,WhiskerGreen,AvengersRed,SmileBlue V2
103,Oppa Bear Evolution Gen.2 #942,3175.949763354365,WingOrange,PunkGreen,Rainbow Super Rare,WirePurple,EyesGreen,ScubaPurple,HiphopYellow V2,OPOrange,HappyBrown,BagBlue,WearLightGreen,StarYellow,BananaYellow,FrogGreen
107,Oppa Bear Evolution Gen.2 #378,3118.8533772103183,ThunderYellow,GrainPurple,Rainbow Super Rare,IronMaskYellow,EyesRed,Thug,MarioCapBlue,BirdPink,ExcitedPink,DiamondRed,TuxedoPurple,WhiskerGreen,CryHeartPink,AliveGreen
111,Oppa Bear Evolution Gen.2 #280,3117.0737430171393,SkateboardBlue,GrainGreen,Rainbow Super Rare,SmokeBlue,EyesPink,YellowPurple V2,HelicopterRed,RazorGunBlue,ExcitedPink,TiePurple,WinterWearPurple,WhiskerYellow,HappyPurpleCat,FlowerRed
115,Oppa Bear Evolution Gen.2 #921,3111.8359574742553,CameraPink,AbstractPink,Rainbow Super Rare,EarringsBlue,EyesGreen,,HiphopBlue,BlinkPink,NormalPurple,HeartRed,RobotBlue,,RocketRed,BalloonYellow
119,Oppa Bear Evolution Gen.2 #162,3095.785771729168,Sword,ThunderPink,Rainbow Super Rare,,EyesPink,RazorRed,HairYellow,StarButtonYellow,NormalGreen,TieBlue,UniformBlue,SnotBlue,MushroomPurple,IceCreamGreen
123,Oppa Bear Evolution Gen.2 #585,3077.6822834865025,RabbitPurple,MixPurple,Rainbow Super Rare,,EyesPink,SquareGreen,DinosaurBlue,ConeTone,SurprisedGreen,RibbonBlue,HoodieYellow,,TagPink,SmileYellow V2
127,Oppa Bear Evolution Gen.2 #343,3069.7756685996296,SignRed,StarPurple,Rainbow Super Rare,SmokeLightGreen,EyesRed,,BurnGreen,JoyStick,HappyGreen,TuxedoYellow,SteamPunkPurple,,HappyPurpleCat,StarPurple
131,Oppa Bear Evolution Gen.2 #391,3038.7190743573724,PizzaYellow,StarGreen,Rainbow Super Rare,RingYellow V2,EyesGreen,Matrix,CapPurple,BearYellow,NormalPurple,ScarfGreen,WearPurple,WhiskerYellow,StarGreen,MilkPink
135,Oppa Bear Evolution Gen.2 #894,3031.11044884239,ThunderPink,CircleYellow,Rainbow Super Rare,EarPhoneRed,EyesRed,WingPurple,,MoonPurple,HappyBrown,,WinterWearYellow,NoseRingPurple,CryHeartPink,MilkBlue
